row,col,gx,gy,fwx,fwy
0,0,-0.13469386100769043,1.9714293479919434,0.1428571343421936,0.20000004768371582
0,1,-0.13469386100769043,1.9142863750457764,0.1428571343421936,0.20000004768371582
0,2,0.11020374298095703,1.8571434020996094,0.1428571343421936,0.20000004768371582
0,3,0.11020374298095703,1.8000006675720215,0.1428571343421936,0.20000004768371582
0,4,0.3551015853881836,1.7428569793701172,0.1428571343421936,0.20000004768371582
0,5,0.3551015853881836,1.6857147216796875,0.1428571343421936,0.20000004768371582
0,6,0.6000003814697266,1.6285724639892578,0.1428571343421936,0.20000004768371582
1,0,-0.07755112648010254,1.1714285612106323,0.1428571343421936,0.19999998807907104
1,1,-0.07755112648010254,1.1142855882644653,0.1428571343421936,0.19999998807907104
1,2,0.16734695434570312,1.057142734527588,0.1428571343421936,0.19999998807907104
1,3,0.16734695434570312,0.9999997615814209,0.1428571343421936,0.19999998807907104
1,4,0.4122447967529297,0.942857027053833,0.1428571343421936,0.19999998807907104
1,5,0.4122447967529297,0.885714054107666,0.1428571343421936,0.19999998807907104
1,6,0.6571424007415771,0.8285715579986572,0.1428571343421936,0.19999998807907104
2,0,-0.020408153533935547,1.1714285612106323,0.1428571343421936,0.19999998807907104
2,1,-0.020408153533935547,1.1142855882644653,0.1428571343421936,0.19999998807907104
2,2,0.22448992729187012,1.057142734527588,0.1428571343421936,0.19999998807907104
2,3,0.22448992729187012,0.9999997615814209,0.1428571343421936,0.19999998807907104
2,4,0.4693877696990967,0.942857027053833,0.1428571343421936,0.19999998807907104
2,5,0.4693877696990967,0.885714054107666,0.1428571343421936,0.19999998807907104
2,6,0.7142856121063232,0.8285715579986572,0.1428571343421936,0.19999998807907104
3,0,0.03673464059829712,0.37142857909202576,0.1428571343421936,0.20000001788139343
3,1,0.03673464059829712,0.31428566575050354,0.1428571343421936,0.20000001788139343
3,2,0.2816327214241028,0.2571428120136261,0.1428571343421936,0.20000001788139343
3,3,0.2816327214241028,0.20000004768371582,0.1428571343421936,0.20000001788139343
3,4,0.5265302658081055,0.14285719394683838,0.1428571343421936,0.20000001788139343
3,5,0.5265302658081055,0.08571422100067139,0.1428571343421936,0.20000001788139343
3,6,0.7714283466339111,0.028571605682373047,0.1428571343421936,0.20000001788139343
4,0,0.09387755393981934,0.37142857909202576,0.1428571343421936,0.20000001788139343
4,1,0.09387755393981934,0.31428566575050354,0.1428571343421936,0.20000001788139343
4,2,0.33877548575401306,0.2571428120136261,0.1428571343421936,0.20000001788139343
4,3,0.33877548575401306,0.20000004768371582,0.1428571343421936,0.20000001788139343
4,4,0.5836732387542725,0.14285719394683838,0.1428571343421936,0.20000001788139343
4,5,0.5836732387542725,0.08571422100067139,0.1428571343421936,0.20000001788139343
4,6,0.8285713195800781,0.028571605682373047,0.1428571343421936,0.20000001788139343
