row,col,gx,gy,fw,t
0,0,0.02857142873108387,-2.3841858265427618e-08,0.02857145294547081,2.4480479865474081e-08
0,1,0.02857142873108387,-2.4214386940002441e-08,0.02857145294547081,0.02857145294547081
0,2,0.028571426868438721,-2.6077032089233398e-08,0.02857145294547081,0.057142883539199829
0,3,0.028571426868438721,-2.2351741790771484e-08,0.028571449220180511,0.08571431040763855
0,4,0.028571426868438721,-2.2351741790771484e-08,0.028571449220180511,0.11428573727607727
0,5,0.028571426868438721,-1.4901161193847656e-08,0.028571441769599915,0.14285716414451599
0,6,1.4901161193847656e-08,-1.4901161193847656e-08,2.9802322387695312e-08,0.17142859101295471
1,0,0.028571426868438721,-0.19999998807907104,0.22857141494750977,0.20000001788139343
1,1,0.028571426868438721,-0.19999998807907104,0.22857141494750977,0.22857144474983215
1,2,0.028571426868438721,-0.19999998807907104,0.22857141494750977,0.25714287161827087
1,3,0.028571426868438721,-0.19999998807907104,0.22857141494750977,0.28571429848670959
1,4,0.028571426868438721,-0.20000001788139343,0.22857144474983215,0.31428572535514832
1,5,0.028571426868438721,-0.20000001788139343,0.22857144474983215,0.34285715222358704
1,6,0,-0.20000001788139343,0.20000001788139343,0.37142857909202576
2,0,0.028571426868438721,-0.19999998807907104,0.22857141494750977,0.40000000596046448
2,1,0.028571426868438721,-0.19999998807907104,0.22857141494750977,0.4285714328289032
2,2,0.028571426868438721,-0.19999998807907104,0.22857141494750977,0.45714285969734192
2,3,0.028571426868438721,-0.19999998807907104,0.22857141494750977,0.48571428656578064
2,4,0.028571426868438721,-0.20000001788139343,0.22857144474983215,0.51428574323654175
2,5,0.028571426868438721,-0.20000001788139343,0.22857144474983215,0.54285717010498047
2,6,0,-0.20000001788139343,0.20000001788139343,0.57142859697341919
3,0,0.028571426868438721,-0.19999998807907104,0.22857141494750977,0.60000002384185791
3,1,0.028571426868438721,-0.19999998807907104,0.22857141494750977,0.62857145071029663
3,2,0.028571426868438721,-0.19999998807907104,0.22857141494750977,0.65714287757873535
3,3,0.028571426868438721,-0.19999998807907104,0.22857141494750977,0.68571430444717407
3,4,0.028571426868438721,-0.19999998807907104,0.22857141494750977,0.71428573131561279
3,5,0.028571426868438721,-0.19999998807907104,0.22857141494750977,0.74285715818405151
3,6,0,-0.19999998807907104,0.19999998807907104,0.77142858505249023
4,0,0.028571426868438721,-0.19999998807907104,0.22857141494750977,0.80000001192092896
4,1,0.028571426868438721,-0.19999998807907104,0.22857141494750977,0.82857143878936768
4,2,0.028571426868438721,-0.19999998807907104,0.22857141494750977,0.8571428656578064
4,3,0.028571426868438721,-0.19999998807907104,0.22857141494750977,0.88571429252624512
4,4,0.028571426868438721,-0.19999998807907104,0.22857141494750977,0.91428571939468384
4,5,0.028571426868438721,-0.19999998807907104,0.22857141494750977,0.94285714626312256
4,6,0,-0.19999998807907104,0.19999998807907104,0.97142857313156128
