row,col,gx_t,gy_t,fw_t,gx_v3.x,gx_v3.y,gx_v3.z,gy_v3.x,gy_v3.y,gy_v3.z,fw_v3.x,fw_v3.y,fw_v3.z,gx_v4.x,gx_v4.y,gx_v4.z,gx_v4.w,gy_v4.x,gy_v4.y,gy_v4.z,gy_v4.w,fw_v4.x,fw_v4.y,fw_v4.z,fw_v4.w
0,0,0,0.10000002384185791,0.10000002384185791,0,0.09375,0.125,0.10000002384185791,-0.25,0.875,0.10000002384185791,0.34375,1,0,0.09375,0.125,0.234375,0.10000002384185791,-0.25,0.875,0.015625,0.10000002384185791,0.34375,1,0.25
0,1,0,0.10000002384185791,0.10000002384185791,0,0.09375,0.125,0.10000002384185791,-0.25,0.875,0.10000002384185791,0.34375,1,0,0.09375,0.125,0.234375,0.10000002384185791,-0.25,0.875,0.046875,0.10000002384185791,0.34375,1,0.28125
0,2,0.25,0.10000002384185791,0.3500000238418579,0.25,0.28125,0.125,0.10000002384185791,-0.25,0.875,0.3500000238418579,0.53125,1,0.25,0.28125,0.125,0.234375,0.10000002384185791,-0.25,0.875,0.078125,0.3500000238418579,0.53125,1,0.3125
0,3,0.25,0.10000002384185791,0.3500000238418579,0.25,0.28125,0.125,0.10000002384185791,-0.25,0.875,0.3500000238418579,0.53125,1,0.25,0.28125,0.125,0.234375,0.10000002384185791,-0.25,0.875,0.109375,0.3500000238418579,0.53125,1,0.34375
0,4,0.25,0.10000002384185791,0.3500000238418579,0.25,0.46875,0.125,0.10000002384185791,-0.25,0.875,0.3500000238418579,0.71875,1,0.25,0.46875,0.125,0.234375,0.10000002384185791,-0.25,0.875,0.140625,0.3500000238418579,0.71875,1,0.375
0,5,0.25,0.10000002384185791,0.3500000238418579,0.25,0.46875,0.125,0.10000002384185791,-0.25,0.875,0.3500000238418579,0.71875,1,0.25,0.46875,0.125,0.234375,0.10000002384185791,-0.25,0.875,0.171875,0.3500000238418579,0.71875,1,0.40625
0,6,0.24999988079071045,0.10000002384185791,0.34999990463256836,0.24999988079071045,0.65625,0.125,0.10000002384185791,-0.25,0.875,0.34999990463256836,0.90625,1,0.24999988079071045,0.65625,0.125,0.234375,0.10000002384185791,-0.25,0.875,0.203125,0.34999990463256836,0.90625,1,0.4375
0,7,0.24999988079071045,0.09999990463256836,0.3499997854232788,0.24999988079071045,0.65625,0.125,0.09999990463256836,-0.25,0.875,0.3499997854232788,0.90625,1,0.24999988079071045,0.65625,0.125,0.234375,0.09999990463256836,-0.25,0.875,0.234375,0.3499997854232788,0.90625,1,0.46875
1,0,0,0.10000002384185791,0.10000002384185791,0,0.09375,0.125,0.10000002384185791,-0.25,0.875,0.10000002384185791,0.34375,1,0,0.09375,0.125,0.203125,0.10000002384185791,-0.25,0.875,0.015625,0.10000002384185791,0.34375,1,0.21875
1,1,0,0.10000002384185791,0.10000002384185791,0,0.09375,0.125,0.10000002384185791,-0.25,0.875,0.10000002384185791,0.34375,1,0,0.09375,0.125,0.203125,0.10000002384185791,-0.25,0.875,0.046875,0.10000002384185791,0.34375,1,0.25
1,2,0.25,0.10000002384185791,0.3500000238418579,0.25,0.28125,0.125,0.10000002384185791,-0.25,0.875,0.3500000238418579,0.53125,1,0.25,0.28125,0.125,0.203125,0.10000002384185791,-0.25,0.875,0.078125,0.3500000238418579,0.53125,1,0.28125
1,3,0.25,0.10000002384185791,0.3500000238418579,0.25,0.28125,0.125,0.10000002384185791,-0.25,0.875,0.3500000238418579,0.53125,1,0.25,0.28125,0.125,0.203125,0.10000002384185791,-0.25,0.875,0.109375,0.3500000238418579,0.53125,1,0.3125
1,4,0.25,0.10000002384185791,0.3500000238418579,0.25,0.46875,0.125,0.10000002384185791,-0.25,0.875,0.3500000238418579,0.71875,1,0.25,0.46875,0.125,0.203125,0.10000002384185791,-0.25,0.875,0.140625,0.3500000238418579,0.71875,1,0.34375
1,5,0.25,0.10000002384185791,0.3500000238418579,0.25,0.46875,0.125,0.10000002384185791,-0.25,0.875,0.3500000238418579,0.71875,1,0.25,0.46875,0.125,0.203125,0.10000002384185791,-0.25,0.875,0.171875,0.3500000238418579,0.71875,1,0.375
1,6,0.25,0.10000002384185791,0.3500000238418579,0.25,0.65625,0.125,0.10000002384185791,-0.25,0.875,0.3500000238418579,0.90625,1,0.25,0.65625,0.125,0.203125,0.10000002384185791,-0.25,0.875,0.203125,0.3500000238418579,0.90625,1,0.40625
1,7,0.25,0.09999990463256836,0.34999990463256836,0.25,0.65625,0.125,0.09999990463256836,-0.25,0.875,0.34999990463256836,0.90625,1,0.25,0.65625,0.125,0.203125,0.09999990463256836,-0.25,0.875,0.234375,0.34999990463256836,0.90625,1,0.4375
2,0,0,0.09999999403953552,0.09999999403953552,0,0.09375,0.125,0.09999999403953552,-0.25,0.625,0.09999999403953552,0.34375,0.75,0,0.09375,0.125,0.171875,0.09999999403953552,-0.25,0.625,0.015625,0.09999999403953552,0.34375,0.75,0.1875
2,1,0,0.09999999403953552,0.09999999403953552,0,0.09375,0.125,0.09999999403953552,-0.25,0.625,0.09999999403953552,0.34375,0.75,0,0.09375,0.125,0.171875,0.09999999403953552,-0.25,0.625,0.046875,0.09999999403953552,0.34375,0.75,0.21875
2,2,0.25,0.09999996423721313,0.34999996423721313,0.25,0.28125,0.125,0.09999996423721313,-0.25,0.625,0.34999996423721313,0.53125,0.75,0.25,0.28125,0.125,0.171875,0.09999996423721313,-0.25,0.625,0.078125,0.34999996423721313,0.53125,0.75,0.25
2,3,0.25,0.09999996423721313,0.34999996423721313,0.25,0.28125,0.125,0.09999996423721313,-0.25,0.625,0.34999996423721313,0.53125,0.75,0.25,0.28125,0.125,0.171875,0.09999996423721313,-0.25,0.625,0.109375,0.34999996423721313,0.53125,0.75,0.28125
2,4,0.25,0.10000002384185791,0.3500000238418579,0.25,0.46875,0.125,0.10000002384185791,-0.25,0.625,0.3500000238418579,0.71875,0.75,0.25,0.46875,0.125,0.171875,0.10000002384185791,-0.25,0.625,0.140625,0.3500000238418579,0.71875,0.75,0.3125
2,5,0.25,0.10000002384185791,0.3500000238418579,0.25,0.46875,0.125,0.10000002384185791,-0.25,0.625,0.3500000238418579,0.71875,0.75,0.25,0.46875,0.125,0.171875,0.10000002384185791,-0.25,0.625,0.171875,0.3500000238418579,0.71875,0.75,0.34375
2,6,0.25,0.10000002384185791,0.3500000238418579,0.25,0.65625,0.125,0.10000002384185791,-0.25,0.625,0.3500000238418579,0.90625,0.75,0.25,0.65625,0.125,0.171875,0.10000002384185791,-0.25,0.625,0.203125,0.3500000238418579,0.90625,0.75,0.375
2,7,0.25,0.10000002384185791,0.3500000238418579,0.25,0.65625,0.125,0.10000002384185791,-0.25,0.625,0.3500000238418579,0.90625,0.75,0.25,0.65625,0.125,0.171875,0.10000002384185791,-0.25,0.625,0.234375,0.3500000238418579,0.90625,0.75,0.40625
3,0,0,0.09999999403953552,0.09999999403953552,0,0.09375,0.125,0.09999999403953552,-0.25,0.625,0.09999999403953552,0.34375,0.75,0,0.09375,0.125,0.140625,0.09999999403953552,-0.25,0.625,0.015625,0.09999999403953552,0.34375,0.75,0.15625
3,1,0,0.09999999403953552,0.09999999403953552,0,0.09375,0.125,0.09999999403953552,-0.25,0.625,0.09999999403953552,0.34375,0.75,0,0.09375,0.125,0.140625,0.09999999403953552,-0.25,0.625,0.046875,0.09999999403953552,0.34375,0.75,0.1875
3,2,0.25,0.09999996423721313,0.34999996423721313,0.25,0.28125,0.125,0.09999996423721313,-0.25,0.625,0.34999996423721313,0.53125,0.75,0.25,0.28125,0.125,0.140625,0.09999996423721313,-0.25,0.625,0.078125,0.34999996423721313,0.53125,0.75,0.21875
3,3,0.25,0.09999996423721313,0.34999996423721313,0.25,0.28125,0.125,0.09999996423721313,-0.25,0.625,0.34999996423721313,0.53125,0.75,0.25,0.28125,0.125,0.140625,0.09999996423721313,-0.25,0.625,0.109375,0.34999996423721313,0.53125,0.75,0.25
3,4,0.25,0.10000002384185791,0.3500000238418579,0.25,0.46875,0.125,0.10000002384185791,-0.25,0.625,0.3500000238418579,0.71875,0.75,0.25,0.46875,0.125,0.140625,0.10000002384185791,-0.25,0.625,0.140625,0.3500000238418579,0.71875,0.75,0.28125
3,5,0.25,0.10000002384185791,0.3500000238418579,0.25,0.46875,0.125,0.10000002384185791,-0.25,0.625,0.3500000238418579,0.71875,0.75,0.25,0.46875,0.125,0.140625,0.10000002384185791,-0.25,0.625,0.171875,0.3500000238418579,0.71875,0.75,0.3125
3,6,0.25,0.10000002384185791,0.3500000238418579,0.25,0.65625,0.125,0.10000002384185791,-0.25,0.625,0.3500000238418579,0.90625,0.75,0.25,0.65625,0.125,0.140625,0.10000002384185791,-0.25,0.625,0.203125,0.3500000238418579,0.90625,0.75,0.34375
